,id,airline_iata,origin_iata,deprt_time,dest_iata,duration,prop,ac_type,capacity,distance,price_usd,regional,flight_path,city_pair,arrive_time,flight_legs,service_lvl,first_layover,second_layover,first_transfer_city,second_transfer_city
72,73,MS,HRG,2023-01-01 05:15:00,CAI,0 days 01:00:00,0,B738,162,402,55,0,HRG -> CAI,HRG_CAI,2023-01-01 06:15:00,[73],0,0 days 00:00:00,0 days 00:00:00,,
88,89,NE,HRG,2023-01-01 01:30:00,CAI,0 days 01:00:00,0,A320,150,402,55,0,HRG -> CAI,HRG_CAI,2023-01-01 02:30:00,[89],0,0 days 00:00:00,0 days 00:00:00,,
151,152,SM,HRG,2023-01-01 11:00:00,CAI,0 days 01:00:00,0,E90,106,402,55,1,HRG -> CAI,HRG_CAI,2023-01-01 12:00:00,[152],0,0 days 00:00:00,0 days 00:00:00,,
154,155,SM,HRG,2023-01-01 01:00:00,CAI,0 days 03:00:00,0,A320,150,482,55,0,HRG -> SSH -> CAI,HRG_CAI,2023-01-01 04:00:00,"[155, 178]",1,0 days 01:30:00,0 days 00:00:00,SSH,
70,71,MS,HRG,2023-01-01 15:10:00,HMB,0 days 02:50:00,0,B738,162,663,55,0,HRG -> CAI -> HMB,HRG_HMB,2023-01-01 18:00:00,"[71, 50]",1,0 days 00:50:00,0 days 00:00:00,CAI,
72,73,MS,HRG,2023-01-01 05:15:00,HMB,0 days 03:50:00,0,B738,150,828,55,0,HRG -> CAI -> ATZ -> HMB,HRG_HMB,2023-01-01 09:05:00,"[73, 49, 31]",3,0 days 00:30:00,0 days 00:40:00,CAI,ATZ
152,153,SM,HRG,2023-01-01 10:20:00,HMB,0 days 07:40:00,1,A320,70,968,55,0,HRG -> LXR -> CAI -> HMB,HRG_HMB,2023-01-01 18:00:00,"[153, 160, 128]",3,0 days 00:40:00,0 days 03:40:00,LXR,CAI
152,153,SM,HRG,2023-01-01 10:20:00,HMB,0 days 07:40:00,1,A320,70,968,55,0,HRG -> LXR -> CAI -> HMB,HRG_HMB,2023-01-01 18:00:00,"[153, 162, 128]",3,0 days 01:00:00,0 days 03:20:00,LXR,CAI
70,71,MS,HRG,2023-01-01 15:10:00,LXR,0 days 03:50:00,0,B738,162,909,55,0,HRG -> CAI -> LXR,HRG_LXR,2023-01-01 19:00:00,"[71, 58]",1,0 days 01:50:00,0 days 00:00:00,CAI,
70,71,MS,HRG,2023-01-01 15:10:00,LXR,0 days 04:55:00,0,B738,162,909,55,0,HRG -> CAI -> LXR,HRG_LXR,2023-01-01 20:05:00,"[71, 59]",1,0 days 02:55:00,0 days 00:00:00,CAI,
152,153,SM,HRG,2023-01-01 10:20:00,LXR,0 days 00:40:00,0,A320,150,200,55,0,HRG -> LXR,HRG_LXR,2023-01-01 11:00:00,[153],0,0 days 00:00:00,0 days 00:00:00,,
153,154,SM,HRG,2023-01-01 16:00:00,SPX,0 days 01:00:00,0,A320,150,430,55,0,HRG -> SPX,HRG_SPX,2023-01-01 17:00:00,[154],0,0 days 00:00:00,0 days 00:00:00,,
